conversation_id,start_time,end_time,duration,messages,participants
0,2024-08-29 19:48:05,2024-08-29 19:50:22,2.283333333333333,2,2
1,2024-09-02 14:18:55,2024-09-02 14:18:55,0.0,1,1
2,2024-09-07 12:44:19,2024-09-07 12:44:19,0.0,1,1
3,2024-09-23 15:06:42,2024-09-23 15:06:42,0.0,1,1
4,2024-10-01 10:11:27,2024-10-01 10:20:50,9.383333333333333,2,2
5,2024-10-11 11:38:56,2024-10-11 11:38:56,0.0,1,1
6,2024-10-30 12:22:10,2024-10-30 12:22:10,0.0,1,1
7,2024-11-01 21:32:26,2024-11-01 21:55:43,23.283333333333335,3,1
